INFO: 01/14/2021 07:40:57 epoch 0, shard 0, rewards train 0.7030972838401794, rewards val 0.8007318037974683
INFO: 01/14/2021 07:48:24 epoch 0, shard 1, rewards train 0.7768173813819885, rewards val 0.8015229430379747
INFO: 01/14/2021 07:55:23 epoch 1, shard 0, rewards train 0.791084885597229, rewards val 0.8176424050632911
INFO: 01/14/2021 08:02:24 epoch 1, shard 1, rewards train 0.805878758430481, rewards val 0.8712420886075949
INFO: 01/14/2021 08:09:23 epoch 2, shard 0, rewards train 0.8273215889930725, rewards val 0.8476068037974683
INFO: 01/14/2021 08:16:22 epoch 2, shard 1, rewards train 0.8353003263473511, rewards val 0.8419699367088608
INFO: 01/14/2021 08:23:23 epoch 3, shard 0, rewards train 0.844581127166748, rewards val 0.8693631329113924
INFO: 01/14/2021 08:30:26 epoch 3, shard 1, rewards train 0.856438398361206, rewards val 0.861056170886076
INFO: 01/14/2021 08:37:26 epoch 4, shard 0, rewards train 0.8581283092498779, rewards val 0.8611550632911392
INFO: 01/14/2021 08:44:24 epoch 4, shard 1, rewards train 0.8576019406318665, rewards val 0.8701542721518988
INFO: 01/14/2021 08:51:23 epoch 5, shard 0, rewards train 0.8515625, rewards val 0.8761867088607594
INFO: 01/14/2021 08:58:21 epoch 5, shard 1, rewards train 0.8571586608886719, rewards val 0.8865704113924051
INFO: 01/14/2021 09:05:21 epoch 6, shard 0, rewards train 0.8585715889930725, rewards val 0.8809335443037974
INFO: 01/14/2021 09:12:23 epoch 6, shard 1, rewards train 0.8635860085487366, rewards val 0.8816257911392406
INFO: 01/14/2021 09:19:29 epoch 7, shard 0, rewards train 0.865719199180603, rewards val 0.8795490506329114
INFO: 01/14/2021 09:26:28 epoch 7, shard 1, rewards train 0.8656083941459656, rewards val 0.8755933544303798
INFO: 01/14/2021 09:33:26 epoch 8, shard 0, rewards train 0.8652205467224121, rewards val 0.8643196202531646
INFO: 01/14/2021 09:40:26 epoch 8, shard 1, rewards train 0.8640846610069275, rewards val 0.8710443037974683
INFO: 01/14/2021 09:47:36 epoch 9, shard 0, rewards train 0.8690436482429504, rewards val 0.8848892405063291
INFO: 01/14/2021 09:54:36 epoch 9, shard 1, rewards train 0.8701518177986145, rewards val 0.8708465189873418
INFO: 01/14/2021 10:01:35 epoch 10, shard 0, rewards train 0.8714815974235535, rewards val 0.8772745253164557
INFO: 01/14/2021 10:08:35 epoch 10, shard 1, rewards train 0.871647834777832, rewards val 0.8878560126582279
INFO: 01/14/2021 10:15:34 epoch 11, shard 0, rewards train 0.869348406791687, rewards val 0.8738132911392406
INFO: 01/14/2021 10:22:33 epoch 11, shard 1, rewards train 0.8742520213127136, rewards val 0.8840981012658228
INFO: 01/14/2021 10:29:31 epoch 12, shard 0, rewards train 0.8671875, rewards val 0.873318829113924
INFO: 01/14/2021 10:36:31 epoch 12, shard 1, rewards train 0.8710660338401794, rewards val 0.8671875
INFO: 01/14/2021 10:43:30 epoch 13, shard 0, rewards train 0.8730884194374084, rewards val 0.8717365506329114
INFO: 01/14/2021 10:50:28 epoch 13, shard 1, rewards train 0.873116135597229, rewards val 0.8848892405063291
INFO: 01/14/2021 10:57:29 epoch 14, shard 0, rewards train 0.866771936416626, rewards val 0.8834058544303798
INFO: 01/14/2021 11:04:29 epoch 14, shard 1, rewards train 0.8756094574928284, rewards val 0.8846914556962026
INFO: 01/14/2021 11:11:30 epoch 15, shard 0, rewards train 0.8707612752914429, rewards val 0.8770767405063291
INFO: 01/14/2021 11:18:30 epoch 15, shard 1, rewards train 0.8730053305625916, rewards val 0.8842958860759493
INFO: 01/14/2021 11:25:28 epoch 16, shard 0, rewards train 0.8676307797431946, rewards val 0.878065664556962
INFO: 01/14/2021 11:32:28 epoch 16, shard 1, rewards train 0.8737255930900574, rewards val 0.8769778481012658
INFO: 01/14/2021 11:39:26 epoch 17, shard 0, rewards train 0.8763574957847595, rewards val 0.8895371835443038
INFO: 01/14/2021 11:46:38 epoch 17, shard 1, rewards train 0.8756094574928284, rewards val 0.8717365506329114
INFO: 01/14/2021 11:53:41 epoch 18, shard 0, rewards train 0.8711214661598206, rewards val 0.8857792721518988
INFO: 01/15/2021 12:00:44 epoch 18, shard 1, rewards train 0.8782690763473511, rewards val 0.8914161392405063
INFO: 01/15/2021 12:07:39 epoch 19, shard 0, rewards train 0.875554084777832, rewards val 0.8833069620253164
INFO: 01/15/2021 12:14:36 epoch 19, shard 1, rewards train 0.8809563517570496, rewards val 0.8975474683544303
INFO: 01/15/2021 12:21:34 epoch 20, shard 0, rewards train 0.8696531653404236, rewards val 0.8863726265822784
INFO: 01/15/2021 12:28:34 epoch 20, shard 1, rewards train 0.8805961608886719, rewards val 0.8751977848101266
INFO: 01/15/2021 12:35:34 epoch 21, shard 0, rewards train 0.8738364577293396, rewards val 0.8955696202531646
INFO: 01/15/2021 12:42:34 epoch 21, shard 1, rewards train 0.875, rewards val 0.9034810126582279
INFO: 01/15/2021 12:49:35 epoch 22, shard 0, rewards train 0.870955228805542, rewards val 0.869560917721519
INFO: 01/15/2021 12:56:38 epoch 22, shard 1, rewards train 0.8734486103057861, rewards val 0.8843947784810127
INFO: 01/15/2021 01:03:39 epoch 23, shard 0, rewards train 0.8764960169792175, rewards val 0.8942840189873418
INFO: 01/15/2021 01:10:38 epoch 23, shard 1, rewards train 0.876883864402771, rewards val 0.8865704113924051
INFO: 01/15/2021 01:17:39 epoch 24, shard 0, rewards train 0.8736425042152405, rewards val 0.8878560126582279
INFO: 01/15/2021 01:24:39 epoch 24, shard 1, rewards train 0.8828125, rewards val 0.9000197784810127
INFO: 01/15/2021 01:31:47 epoch 25, shard 0, rewards train 0.87959885597229, rewards val 0.8866693037974683
INFO: 01/15/2021 01:38:47 epoch 25, shard 1, rewards train 0.8830341100692749, rewards val 0.8934928797468354
INFO: 01/15/2021 01:45:58 epoch 26, shard 0, rewards train 0.8816766142845154, rewards val 0.881131329113924
INFO: 01/15/2021 01:52:58 epoch 26, shard 1, rewards train 0.8805685043334961, rewards val 0.8886471518987342
INFO: 01/15/2021 01:59:59 epoch 27, shard 0, rewards train 0.8769392967224121, rewards val 0.8872626582278481
INFO: 01/15/2021 02:07:00 epoch 27, shard 1, rewards train 0.885666012763977, rewards val 0.8926028481012658
INFO: 01/15/2021 02:13:57 epoch 28, shard 0, rewards train 0.868655800819397, rewards val 0.861748417721519
INFO: 01/15/2021 02:20:58 epoch 28, shard 1, rewards train 0.8698470592498779, rewards val 0.8978441455696202
INFO: 01/15/2021 02:27:58 epoch 29, shard 0, rewards train 0.8836989998817444, rewards val 0.8931962025316456
INFO: 01/15/2021 02:34:58 epoch 29, shard 1, rewards train 0.871509313583374, rewards val 0.8802412974683544
INFO: 01/15/2021 02:41:58 epoch 30, shard 0, rewards train 0.8782413601875305, rewards val 0.885878164556962
INFO: 01/15/2021 02:48:58 epoch 30, shard 1, rewards train 0.8806793093681335, rewards val 0.8921083860759493
INFO: 01/15/2021 02:55:58 epoch 31, shard 0, rewards train 0.8687666058540344, rewards val 0.8841969936708861
