INFO: 01/17/2021 11:15:22 epoch 0, shard 0, rewards train 0.7061447501182556, rewards val 0.788370253164557
INFO: 01/17/2021 11:22:37 epoch 0, shard 1, rewards train 0.7660959959030151, rewards val 0.7876780063291139
INFO: 01/17/2021 11:29:35 epoch 1, shard 0, rewards train 0.7798925042152405, rewards val 0.7840189873417721
INFO: 01/17/2021 11:36:34 epoch 1, shard 1, rewards train 0.7854887247085571, rewards val 0.8149723101265823
INFO: 01/17/2021 11:43:37 epoch 2, shard 0, rewards train 0.7996730804443359, rewards val 0.8237737341772152
INFO: 01/17/2021 11:50:48 epoch 2, shard 1, rewards train 0.8194260001182556, rewards val 0.8346518987341772
INFO: 01/17/2021 11:57:48 epoch 3, shard 0, rewards train 0.8247174024581909, rewards val 0.842068829113924
INFO: 01/17/2021 12:04:48 epoch 3, shard 1, rewards train 0.8311724066734314, rewards val 0.852254746835443
INFO: 01/17/2021 12:11:48 epoch 4, shard 0, rewards train 0.8392619490623474, rewards val 0.8668908227848101
INFO: 01/17/2021 12:18:47 epoch 4, shard 1, rewards train 0.8443318009376526, rewards val 0.8611550632911392
INFO: 01/17/2021 12:25:50 epoch 5, shard 0, rewards train 0.8495123982429504, rewards val 0.8697587025316456
INFO: 01/17/2021 12:32:51 epoch 5, shard 1, rewards train 0.8552471399307251, rewards val 0.872626582278481
INFO: 01/17/2021 12:39:52 epoch 6, shard 0, rewards train 0.858045220375061, rewards val 0.8781645569620253
INFO: 01/17/2021 12:46:54 epoch 6, shard 1, rewards train 0.8633089661598206, rewards val 0.8556170886075949
INFO: 01/17/2021 12:53:56 epoch 7, shard 0, rewards train 0.860843300819397, rewards val 0.8737143987341772
INFO: 01/17/2021 01:00:56 epoch 7, shard 1, rewards train 0.861812949180603, rewards val 0.8715387658227848
INFO: 01/17/2021 01:07:57 epoch 8, shard 0, rewards train 0.8672983050346375, rewards val 0.8643196202531646
INFO: 01/17/2021 01:14:58 epoch 8, shard 1, rewards train 0.863558292388916, rewards val 0.8676819620253164
INFO: 01/17/2021 01:22:00 epoch 9, shard 0, rewards train 0.868240237236023, rewards val 0.8767800632911392
INFO: 01/17/2021 01:29:02 epoch 9, shard 1, rewards train 0.8665503263473511, rewards val 0.889932753164557
INFO: 01/17/2021 01:36:02 epoch 10, shard 0, rewards train 0.8695977330207825, rewards val 0.8841969936708861
