INFO: 01/14/2021 07:32:11 epoch 0, shard 0, rewards train 0.631344199180603, rewards val 0.7226068037974683
INFO: 01/14/2021 07:42:00 epoch 0, shard 1, rewards train 0.7434341907501221, rewards val 0.8191257911392406
INFO: 01/14/2021 07:46:04 epoch 1, shard 0, rewards train 0.8121121525764465, rewards val 0.846815664556962
INFO: 01/14/2021 07:57:05 epoch 1, shard 1, rewards train 0.8247451186180115, rewards val 0.8806368670886076
INFO: 01/14/2021 08:01:08 epoch 2, shard 0, rewards train 0.8503158092498779, rewards val 0.8672863924050633
INFO: 01/14/2021 08:05:12 epoch 2, shard 1, rewards train 0.8638630509376526, rewards val 0.8709454113924051
INFO: 01/14/2021 08:11:41 epoch 3, shard 0, rewards train 0.8769115805625916, rewards val 0.8820213607594937
INFO: 01/14/2021 08:15:39 epoch 3, shard 1, rewards train 0.8669935464859009, rewards val 0.8652096518987342
INFO: 01/14/2021 08:19:37 epoch 4, shard 0, rewards train 0.8718694448471069, rewards val 0.8793512658227848
INFO: 01/14/2021 08:30:37 epoch 4, shard 1, rewards train 0.8806793093681335, rewards val 0.9006131329113924
INFO: 01/14/2021 08:34:34 epoch 5, shard 0, rewards train 0.8841145634651184, rewards val 0.8988330696202531
INFO: 01/14/2021 08:45:33 epoch 5, shard 1, rewards train 0.8858322501182556, rewards val 0.9009098101265823
INFO: 01/14/2021 08:49:30 epoch 6, shard 0, rewards train 0.8822861313819885, rewards val 0.9020965189873418
INFO: 01/14/2021 08:55:35 epoch 6, shard 1, rewards train 0.8889350891113281, rewards val 0.9067444620253164
INFO: 01/14/2021 08:59:33 epoch 7, shard 0, rewards train 0.892647385597229, rewards val 0.8987341772151899
INFO: 01/14/2021 09:03:37 epoch 7, shard 1, rewards train 0.8901263475418091, rewards val 0.8816257911392406
INFO: 01/14/2021 09:07:36 epoch 8, shard 0, rewards train 0.896415114402771, rewards val 0.9014042721518988
INFO: 01/14/2021 09:13:54 epoch 8, shard 1, rewards train 0.9028701186180115, rewards val 0.9184137658227848
INFO: 01/14/2021 09:17:51 epoch 9, shard 0, rewards train 0.9051141142845154, rewards val 0.9140625
INFO: 01/14/2021 09:21:50 epoch 9, shard 1, rewards train 0.9055851101875305, rewards val 0.9236550632911392
INFO: 01/14/2021 09:25:54 epoch 10, shard 0, rewards train 0.9061669111251831, rewards val 0.9156447784810127
INFO: 01/14/2021 09:29:53 epoch 10, shard 1, rewards train 0.9118738770484924, rewards val 0.9127768987341772
INFO: 01/14/2021 09:40:54 epoch 11, shard 0, rewards train 0.915946364402771, rewards val 0.9245450949367089
INFO: 01/14/2021 09:44:51 epoch 11, shard 1, rewards train 0.9168882966041565, rewards val 0.9226661392405063
INFO: 01/14/2021 09:48:49 epoch 12, shard 0, rewards train 0.9151706695556641, rewards val 0.9196004746835443
INFO: 01/14/2021 09:52:53 epoch 12, shard 1, rewards train 0.9135915040969849, rewards val 0.9290941455696202
INFO: 01/14/2021 09:56:52 epoch 13, shard 0, rewards train 0.9199634194374084, rewards val 0.928006329113924
INFO: 01/14/2021 10:01:02 epoch 13, shard 1, rewards train 0.913508415222168, rewards val 0.9104034810126582
INFO: 01/14/2021 10:05:05 epoch 14, shard 0, rewards train 0.9152814745903015, rewards val 0.9278085443037974
INFO: 01/14/2021 10:16:03 epoch 14, shard 1, rewards train 0.919852614402771, rewards val 0.9316653481012658
INFO: 01/14/2021 10:20:01 epoch 15, shard 0, rewards train 0.9206560254096985, rewards val 0.9264240506329114
INFO: 01/14/2021 10:30:51 epoch 15, shard 1, rewards train 0.9190769195556641, rewards val 0.9298852848101266
INFO: 01/14/2021 10:34:48 epoch 16, shard 0, rewards train 0.9210993051528931, rewards val 0.9227650316455697
INFO: 01/14/2021 10:45:37 epoch 16, shard 1, rewards train 0.923481822013855, rewards val 0.9239517405063291
INFO: 01/14/2021 10:49:36 epoch 17, shard 0, rewards train 0.926972508430481, rewards val 0.9210838607594937
INFO: 01/14/2021 11:00:12 epoch 17, shard 1, rewards train 0.9291611313819885, rewards val 0.9349287974683544
INFO: 01/14/2021 11:04:11 epoch 18, shard 0, rewards train 0.9224844574928284, rewards val 0.9229628164556962
INFO: 01/14/2021 11:15:08 epoch 18, shard 1, rewards train 0.919021487236023, rewards val 0.921182753164557
INFO: 01/14/2021 11:25:56 epoch 19, shard 0, rewards train 0.9174700975418091, rewards val 0.914754746835443
INFO: 01/14/2021 11:29:53 epoch 19, shard 1, rewards train 0.9173592925071716, rewards val 0.9336431962025317
INFO: 01/14/2021 11:40:43 epoch 20, shard 0, rewards train 0.9246730804443359, rewards val 0.9322587025316456
INFO: 01/14/2021 11:44:43 epoch 20, shard 1, rewards train 0.9219858050346375, rewards val 0.9175237341772152
INFO: 01/14/2021 11:48:40 epoch 21, shard 0, rewards train 0.9197971820831299, rewards val 0.9348299050632911
INFO: 01/14/2021 11:59:30 epoch 21, shard 1, rewards train 0.9212378263473511, rewards val 0.9332476265822784
INFO: 01/15/2021 12:03:33 epoch 22, shard 0, rewards train 0.9282745718955994, rewards val 0.9307753164556962
INFO: 01/15/2021 12:07:32 epoch 22, shard 1, rewards train 0.9256704449653625, rewards val 0.9349287974683544
INFO: 01/15/2021 12:11:30 epoch 23, shard 0, rewards train 0.929548978805542, rewards val 0.9305775316455697
INFO: 01/15/2021 12:15:31 epoch 23, shard 1, rewards train 0.9257535338401794, rewards val 0.9312697784810127
INFO: 01/15/2021 12:26:10 epoch 24, shard 0, rewards train 0.9247007966041565, rewards val 0.9372033227848101
INFO: 01/15/2021 12:30:08 epoch 24, shard 1, rewards train 0.9294381737709045, rewards val 0.9338409810126582
INFO: 01/15/2021 12:40:45 epoch 25, shard 0, rewards train 0.9256704449653625, rewards val 0.9322587025316456
