INFO: 01/16/2021 01:35:22 epoch 0, shard 0, rewards train 0.6391012668609619, rewards val 0.7662183544303798
INFO: 01/16/2021 01:39:32 epoch 0, shard 1, rewards train 0.761580228805542, rewards val 0.7620648734177216
INFO: 01/16/2021 01:43:26 epoch 1, shard 0, rewards train 0.7749335169792175, rewards val 0.8014240506329114
INFO: 01/16/2021 01:47:20 epoch 1, shard 1, rewards train 0.794021487236023, rewards val 0.819620253164557
INFO: 01/16/2021 01:51:16 epoch 2, shard 0, rewards train 0.8065436482429504, rewards val 0.8494857594936709
INFO: 01/16/2021 01:55:10 epoch 2, shard 1, rewards train 0.8170157074928284, rewards val 0.8500791139240507
INFO: 01/16/2021 01:59:04 epoch 3, shard 0, rewards train 0.8326130509376526, rewards val 0.8708465189873418
INFO: 01/16/2021 02:02:59 epoch 3, shard 1, rewards train 0.8466588854789734, rewards val 0.8787579113924051
INFO: 01/16/2021 02:06:53 epoch 4, shard 0, rewards train 0.8570201396942139, rewards val 0.871934335443038
INFO: 01/16/2021 02:10:48 epoch 4, shard 1, rewards train 0.86649489402771, rewards val 0.8908227848101266
INFO: 01/16/2021 02:14:41 epoch 5, shard 0, rewards train 0.8592087626457214, rewards val 0.8871637658227848
INFO: 01/16/2021 02:18:35 epoch 5, shard 1, rewards train 0.8685727119445801, rewards val 0.8867681962025317
INFO: 01/16/2021 02:22:29 epoch 6, shard 0, rewards train 0.8762189745903015, rewards val 0.8849881329113924
INFO: 01/16/2021 02:26:24 epoch 6, shard 1, rewards train 0.8815658092498779, rewards val 0.8872626582278481
INFO: 01/16/2021 02:30:19 epoch 7, shard 0, rewards train 0.8838098645210266, rewards val 0.9091178797468354
INFO: 01/16/2021 02:34:13 epoch 7, shard 1, rewards train 0.8839483857154846, rewards val 0.9052610759493671
INFO: 01/16/2021 02:38:08 epoch 8, shard 0, rewards train 0.8849456906318665, rewards val 0.8895371835443038
INFO: 01/16/2021 02:42:02 epoch 8, shard 1, rewards train 0.882396936416626, rewards val 0.8842958860759493
INFO: 01/16/2021 02:45:56 epoch 9, shard 0, rewards train 0.8854166865348816, rewards val 0.8988330696202531
INFO: 01/16/2021 02:49:51 epoch 9, shard 1, rewards train 0.8958887457847595, rewards val 0.9127768987341772
INFO: 01/16/2021 02:53:45 epoch 10, shard 0, rewards train 0.8964428305625916, rewards val 0.913370253164557
INFO: 01/16/2021 02:57:39 epoch 10, shard 1, rewards train 0.8926196694374084, rewards val 0.9014042721518988
